IDCode,WSU LIFETIME GIVING,WSU YEARS OF GIVING,ASSETS,RECORD TYPE CODE,Number of relationships,Gender,Velocity35Score,Velocity57Score,AlumniCode,SportCode,GreekCode,ParticipationScore,AssetClass,ParticipationClass
404,17711.83,29,8561566,AL,1,M,75,100,1,1,1,2,Very High,Both
3198,19475,20,7962000,AL,1,M,0,0,1,1,1,2,Very High,Both
3592,6080,25,7121842,AL,3,M,0,0,1,1,1,2,Very High,Both
3085,24155,22,5500000,AL,9,M,0,0,1,1,1,2,Very High,Both
7059,0,0,4984000,FD,,M,0,0,0,1,1,2,Very High,Both
112,3109428.48,21,3205000,AL,2,M,85,81,1,1,1,2,Very High,Both
4832,1240,28,3137095,AL,1,M,100,30,1,1,1,2,Very High,Both
3245,17750,18,3064750,AL,1,M,75,67,1,1,1,2,Very High,Both
3619,5825,31,3054500,AL,1,M,33,38,1,1,1,2,Very High,Both
6147,150,2,3029500,AL,1,M,0,0,1,1,1,2,Very High,Both
3797,4490,44,3000000,AL,1,M,23,47,1,1,1,2,Very High,Both
3810,4414.38,28,2987500,AL,1,M,0,0,1,1,1,2,Very High,Both
1650,34445,8,2822400,AL,9,M,61,76,1,1,1,2,Very High,Both
6403,70,2,2792000,AL,2,M,0,0,1,1,1,2,Very High,Both
2707,14015,17,2583365,AL,1,M,23,100,1,1,1,2,Very High,Both
1843,12006,25,2400000,AL,1,M,65,65,1,1,1,2,Very High,Both
4914,1110,5,2287868,AL,2,M,100,50,1,1,1,2,Very High,Both
536,90096.6,18,2238698,AL,2,M,0,0,1,1,1,2,Very High,Both
6218,120,2,2230827,AL,4,M,100,100,1,1,1,2,Very High,Both
4016,3345,8,2058990,AL,3,M,100,100,1,1,1,2,Very High,Both
2373,75733,18,2055835,AL,1,M,70,84,1,1,1,2,Very High,Both
1564,242950,13,2051000,FD,1,M,77,100,0,1,1,2,Very High,Both
4182,2710,16,1911965,AL,1,M,56,63,1,1,1,2,Very High,Both
3839,4265,20,1779000,AL,3,M,43,100,1,1,1,2,Very High,Both
6635,15,3,1720000,AL,1,M,0,0,1,1,1,2,Very High,Both
5829,325,3,1709147,FD,1,M,0,0,0,1,1,2,Very High,Both
1109,29178.71,23,1699000,AL,1,M,4,100,1,1,1,2,Very High,Both
3623,5792,17,1647634,AL,1,M,50,100,1,1,1,2,Very High,Both
4186,2703.5,14,1600000,AL,4,F,50,54,1,1,1,2,Very High,Both
1209,61215.5,27,1589500,AL,2,M,32,58,1,1,1,2,Very High,Both
3454,8140,19,1523000,AL,1,M,0,100,1,1,1,2,Very High,Both
1676,44763,33,1500000,AL,2,M,56,75,1,1,1,2,Very High,Both
610,9670.55,10,1450775,AL,0,M,71,83,1,1,1,2,Very High,Both
6375,81,3,1420600,AL,1,M,0,0,1,1,1,2,Very High,Both
1135,36807.85,32,1400000,AL,1,M,68,87,1,1,1,2,Very High,Both
2267,42156,20,1381000,AL,2,M,100,79,1,1,1,2,Very High,Both
2600,30290,33,1362000,FD,2,M,60,71,0,1,1,2,Very High,Both
4893,1140,12,1351517,AL,3,M,0,100,1,1,1,2,Very High,Both
3843,4245,32,1305500,AL,1,M,13,43,1,1,1,2,Very High,Both
783,20503,32,1262500,AL,2,M,96,96,1,1,1,2,Very High,Both
3586,6115,23,1239271,AL,1,M,60,83,1,1,1,2,Very High,Both
3673,5312,27,1219370,AL,1,M,17,88,1,1,1,2,Very High,Both
4878,1155,15,1215828,AL,5,F,0,0,1,1,1,2,Very High,Both
448,200,1,1210500,FD,1,M,0,0,0,1,1,2,Very High,Both
6865,0,0,1190500,AL,,M,0,0,1,1,1,2,Very High,Both
974,27266,40,1173500,AL,2,M,0,0,1,1,1,2,Very High,Both
4807,1270,9,1133500,AL,1,M,100,55,1,1,1,2,Very High,Both
3568,6331,25,1086900,AL,1,M,0,100,1,1,1,2,Very High,Both
1573,2390,5,1081654,AL,3,M,100,100,1,1,1,2,Very High,Both
374,50800,16,1014500,AL,6,M,64,61,1,1,1,2,Very High,Both
1187,17121.63,28,1002000,AL,1,M,57,70,1,1,1,2,Very High,Both
993,219164.5,36,1000900,AL,3,M,59,82,1,1,1,2,Very High,Both
239,51635.5,29,1000000,AL,2,M,68,84,1,1,1,2,Very High,Both
4119,2955,33,991000,AL,4,M,57,67,1,1,1,2,Moderate,Both
4139,2865,33,950500,AL,3,M,100,100,1,1,1,2,Moderate,Both
4583,1670.34,12,938300,AL,2,M,0,0,1,1,1,2,Moderate,Both
4362,2170,17,911800,AL,3,M,0,34,1,1,1,2,Moderate,Both
2751,12685,41,911100,AL,1,M,59,85,1,1,1,2,Moderate,Both
4453,1950,8,877000,AL,1,M,0,0,1,1,1,2,Moderate,Both
4579,1680,25,858000,AL,2,M,42,75,1,1,1,2,Moderate,Both
3450,8205,15,848452,AL,2,M,0,0,1,1,1,2,Moderate,Both
4968,1055,8,834000,AL,2,M,0,0,1,1,1,2,Moderate,Both
6536,40,2,832290,AL,0,M,0,0,1,1,1,2,Moderate,Both
1700,17280,20,828000,AL,1,M,84,96,1,1,1,2,Moderate,Both
5511,510,11,827000,AL,1,M,0,100,1,1,1,2,Moderate,Both
586,9750,16,819543,AL,1,M,100,100,1,1,1,2,Moderate,Both
4120,2950,9,778000,AL,7,M,0,0,1,1,1,2,Moderate,Both
1104,139823,37,765000,AL,3,M,59,73,1,1,1,2,Moderate,Both
1221,25046,26,749788,AL,2,M,77,79,1,1,1,2,Moderate,Both
1082,144004,31,745000,AL,2,M,61,80,1,1,1,2,Moderate,Both
2726,13410,34,737000,AL,1,M,54,66,1,1,1,2,Moderate,Both
1680,16957.5,27,692000,AL,1,M,87,58,1,1,1,2,Moderate,Both
6191,129.08,3,686000,AL,1,M,100,100,1,1,1,2,Moderate,Both
2668,15540,46,676000,AL,1,M,65,75,1,1,1,2,Moderate,Both
4266,2465,17,567500,AL,0,M,100,100,1,1,1,2,Moderate,Both
2896,42033,24,557100,AL,2,M,0,0,1,1,1,2,Moderate,Both
7259,0,0,530700,AL,,M,0,0,1,1,1,2,Moderate,Both
3320,11065,35,525000,AL,2,M,0,0,1,1,1,2,Moderate,Both
2717,13751,29,503000,AL,1,M,59,59,1,1,1,2,Moderate,Both
3452,8160,28,488700,AL,3,M,100,85,1,1,1,2,Moderate,Both
1172,5810,45,475300,AL,2,M,17,88,1,1,1,2,Moderate,Both
5932,260,5,453000,AL,1,M,0,100,1,1,1,2,Moderate,Both
212,24560,9,450000,AL,1,M,64,86,1,1,1,2,Moderate,Both
2667,15583.5,47,447610,AL,1,M,68,77,1,1,1,2,Moderate,Both
1110,12056,27,421815,AL,2,M,20,72,1,1,1,2,Moderate,Both
82,187407,47,404323,AL,7,M,71,65,1,1,1,2,Moderate,Both
1741,7215,19,400000,AL,1,M,10,99,1,1,1,2,Moderate,Both
1966,7090,25,376500,AL,4,M,0,40,1,1,1,2,Moderate,Both
90,8635,27,368000,AL,1,M,81,86,1,1,1,2,Moderate,Both
4369,2135,22,347570,AL,2,M,13,77,1,1,1,2,Moderate,Both
3553,6490,25,345777,AL,1,M,0,0,1,1,1,2,Moderate,Both
4167,2759.01,8,332500,AL,1,M,0,15,1,1,1,2,Moderate,Both
893,55972,25,325972,AL,9,M,44,99,1,1,1,2,Moderate,Both
1468,2980,19,321000,AL,3,M,18,85,1,1,1,2,Moderate,Both
86,128558,35,320938,AL,7,M,69,100,1,1,1,2,Moderate,Both
2886,43690,37,317500,AL,5,M,60,78,1,1,1,2,Moderate,Both
1085,7831,32,314000,AL,4,M,86,45,1,1,1,2,Moderate,Both
1225,25015.12,36,280223,AL,3,M,52,73,1,1,1,2,Moderate,Both
5323,681,7,259000,AL,1,M,0,0,1,1,1,2,Moderate,Both
6434,56,1,257000,AL,4,M,0,0,1,1,1,2,Moderate,Both
972,7980,26,236000,AL,0,M,65,90,1,1,1,2,Moderate,Both
1093,7891,34,227500,AL,1,M,65,74,1,1,1,2,Moderate,Both
1343,10720,35,225000,AL,2,M,50,70,1,1,1,2,Moderate,Both
4116,2973,16,224500,AL,2,M,0,0,1,1,1,2,Moderate,Both
104,19535,21,217500,AL,1,M,70,98,1,1,1,2,Moderate,Both
6640,11,2,216500,AL,2,M,0,0,1,1,1,2,Moderate,Both
103,10213,40,199900,AL,2,M,80,73,1,1,1,2,Moderate,Both
2360,39185,15,197990,AL,1,M,66,87,1,1,1,2,Moderate,Both
2149,27510,30,180000,AL,1,M,61,31,1,1,1,2,Moderate,Both
1218,37778,45,174969,AL,3,M,67,78,1,1,1,2,Moderate,Both
505,7331,21,170000,AL,1,M,100,100,1,1,1,2,Moderate,Both
2084,11976,30,130640,AL,2,M,69,66,1,1,1,2,Moderate,Both
81,23355,34,NA,AL,1,M,0,0,1,1,1,2,Unknown,Both
155,224514.04,36,NA,AL,1,M,38,89,1,1,1,2,Unknown,Both
198,224318.66,13,NA,AL,1,M,58,84,1,1,1,2,Unknown,Both
1016,878342.31,39,NA,AL,6,M,59,82,1,1,1,2,Unknown,Both
1144,98224,35,NA,AL,3,M,71,91,1,1,1,2,Unknown,Both
1158,1329413.82,44,NA,AL,1,M,55,77,1,1,1,2,Unknown,Both
1183,89838,40,NA,AL,1,M,59,80,1,1,1,2,Unknown,Both
1279,57001,42,NA,AL,2,M,39,89,1,1,1,2,Unknown,Both
1894,18863.24,28,NA,AL,2,M,74,100,1,1,1,2,Unknown,Both
2018,10396.12,26,NA,AL,3,M,60,95,1,1,1,2,Unknown,Both
2026,6203.19,10,NA,FF,4,M,0,0,0,1,1,2,Unknown,Both
2867,47826,33,NA,AL,7,M,60,75,1,1,1,2,Unknown,Both
655,37437.61,32,NA,AL,9,M,30,60,1,1,1,2,Unknown,Both
6361,90,2,NA,AL,2,F,0,0,1,1,1,2,Unknown,Both
2803,77704,9,NA,FD,1,M,67,71,0,1,1,2,Unknown,Both
6013,220,3,NA,AL,2,M,0,0,1,1,1,2,Unknown,Both
834,24478.5,30,NA,AL,5,M,100,100,1,1,1,2,Unknown,Both
862,20865,36,NA,AL,5,M,43,74,1,1,1,2,Unknown,Both
3516,6995,22,NA,AL,0,M,0,83,1,1,1,2,Unknown,Both
3081,24482,52,NA,AL,4,M,41,91,1,1,1,2,Unknown,Both
2703,14130,31,NA,AL,4,M,100,100,1,1,1,2,Unknown,Both
1069,36237,29,NA,AL,4,M,70,77,1,1,1,2,Unknown,Both
2630,175062.48,48,NA,AL,1,M,39,52,1,1,1,2,Unknown,Both
1120,59445.02,28,NA,AL,2,M,0,100,1,1,1,2,Unknown,Both
4954,1070,8,NA,AL,0,M,33,71,1,1,1,2,Unknown,Both
5412,595,16,NA,AL,6,M,0,0,1,1,1,2,Unknown,Both
356,2465,15,NA,AL,0,M,0,49,1,1,1,2,Unknown,Both
1173,45424,44,NA,AL,3,M,33,71,1,1,1,2,Unknown,Both
5393,610,3,NA,AL,1,F,0,0,1,1,1,2,Unknown,Both
357,101278.11,31,NA,AL,3,M,65,87,1,1,1,2,Unknown,Both
1224,23788,36,NA,AL,1,M,54,73,1,1,1,2,Unknown,Both
5434,570,16,NA,AL,1,M,0,0,1,1,1,2,Unknown,Both
1263,163987.5,30,NA,AL,6,M,100,0,1,1,1,2,Unknown,Both
3111,10235,8,NA,AL,1,M,0,0,1,1,1,2,Unknown,Both
1300,321415,27,NA,AL,3,M,1,47,1,1,1,2,Unknown,Both
3849,4220,35,NA,AL,1,M,33,38,1,1,1,2,Unknown,Both
2636,145032,16,NA,AL,1,M,0,0,1,1,1,2,Unknown,Both
2730,13325,28,NA,AL,2,M,52,67,1,1,1,2,Unknown,Both
1326,28060,17,NA,AL,2,M,78,100,1,1,1,2,Unknown,Both
366,54769,39,NA,AL,1,M,56,74,1,1,1,2,Unknown,Both
3370,9548,36,NA,AL,11,M,37,54,1,1,1,2,Unknown,Both
386,98505,34,NA,AL,1,M,61,71,1,1,1,2,Unknown,Both
2618,257255.55,30,NA,AL,2,M,51,55,1,1,1,2,Unknown,Both
3226,18415.49,32,NA,AL,4,F,60,71,1,1,1,2,Unknown,Both
1535,150950,2,NA,FD,1,M,0,0,0,1,1,2,Unknown,Both
425,295075,45,NA,AL,2,M,50,50,1,1,1,2,Unknown,Both
2858,49660.44,46,NA,AL,5,M,46,63,1,1,1,2,Unknown,Both
3018,26602,45,NA,AL,3,M,75,57,1,1,1,2,Unknown,Both
3752,4817.5,13,NA,AL,2,M,0,0,1,1,1,2,Unknown,Both
1723,12355,4,NA,AL,0,M,45,95,1,1,1,2,Unknown,Both
460,125312,49,NA,AL,3,M,53,55,1,1,1,2,Unknown,Both
1820,60402.08,19,NA,AL,2,M,96,88,1,1,1,2,Unknown,Both
1878,4411,29,NA,AL,1,M,29,76,1,1,1,2,Unknown,Both
5391,610,13,NA,AL,1,M,33,61,1,1,1,2,Unknown,Both
3714,5051,10,NA,AL,0,M,62,87,1,1,1,2,Unknown,Both
2013,83030,21,NA,AL,2,M,0,0,1,1,1,2,Unknown,Both
3159,21730,34,NA,AL,2,M,0,0,1,1,1,2,Unknown,Both
512,269302.5,57,NA,AL,6,M,60,71,1,1,1,2,Unknown,Both
2020,74845.61,34,NA,AL,5,M,51,81,1,1,1,2,Unknown,Both
4076,3095,24,NA,AL,1,M,0,100,1,1,1,2,Unknown,Both
2903,40891,32,NA,AL,1,M,63,55,1,1,1,2,Unknown,Both
4713,1440,20,NA,AL,0,M,0,0,1,1,1,2,Unknown,Both
541,37270,30,NA,AL,1,M,38,84,1,1,1,2,Unknown,Both
2139,12797,14,NA,AL,5,M,3,84,1,1,1,2,Unknown,Both
3408,8946,18,NA,AL,2,M,50,67,1,1,1,2,Unknown,Both
2265,434003,28,NA,AL,3,M,49,22,1,1,1,2,Unknown,Sport
6473,50,3,42000000,AL,3,M,0,0,1,0,1,1,Highest,Greek
2025,41830,24,22950000,AL,1,M,18,90,1,0,1,1,Highest,Greek
5558,500,1,19537566,AL,0,M,0,0,1,0,1,1,Highest,Greek
4636,1566,11,13504208,AL,1,M,0,0,1,0,1,1,Highest,Greek
2747,12910,40,13207850,AL,2,M,85,95,1,0,1,1,Highest,Greek
5503,515,18,11912815,AL,1,M,0,0,1,0,1,1,Highest,Greek
4995,1020,17,10899590,AL,1,M,0,26,1,0,1,1,Highest,Greek
7023,0,0,9900000,AL,,M,0,0,1,0,1,1,Very High,Greek
99,13368.62,18,8600000,AL,3,F,48,88,1,0,1,1,Very High,Greek
6022,210,3,7547195,AL,0,M,0,0,1,0,1,1,Very High,Greek
7118,0,0,7465417,AL,,M,0,0,1,0,1,1,Very High,Greek
1283,26750,5,7431000,AL,2,M,15,100,1,0,1,1,Very High,Greek
959,42888,26,7289655,AL,6,M,49,42,1,0,1,1,Very High,Greek
5384,620,3,7227121,AL,3,F,100,100,1,0,1,1,Very High,Greek
5144,870,8,7206480,AL,1,M,0,0,1,0,1,1,Very High,Greek
3148,22400,14,7070000,AL,1,F,100,100,1,0,1,1,Very High,Greek
4001,3405,14,7000000,AL,1,F,0,0,1,0,1,1,Very High,Greek
378,598727.69,55,6956500,AL,1,M,39,31,1,0,1,1,Very High,Greek
5771,355,10,6923500,AL,1,F,0,36,1,0,1,1,Very High,Greek
3739,4930,25,6466720,AL,1,F,50,100,1,0,1,1,Very High,Greek
5844,310,6,6440100,AL,3,M,100,100,1,0,1,1,Very High,Greek
1272,1748818.01,34,5780000,AL,10,M,75,27,1,0,1,1,Very High,Greek
1367,372780,26,5342000,AL,3,M,67,79,1,0,1,1,Very High,Greek
1192,21910,18,5300000,AL,1,M,36,65,1,0,1,1,Very High,Greek
6405,70,3,4969236,AL,0,M,0,0,1,0,1,1,Very High,Greek
2613,29173.54,19,4916000,AL,4,M,0,0,1,0,1,1,Very High,Greek
5676,420,4,4908508,AL,0,M,0,0,1,0,1,1,Very High,Greek
2235,72322,13,4796244,FR,1,M,56,96,0,0,1,1,Very High,Greek
6608,25,1,4793249,AL,0,F,0,0,1,0,1,1,Very High,Greek
6451,50,1,4588759,AL,2,M,0,0,1,0,1,1,Very High,Greek
4590,1655,29,4549656,AL,1,F,33,75,1,0,1,1,Very High,Greek
6730,0,0,4413414,AL,,M,0,0,1,0,1,1,Very High,Greek
6698,0,0,4409000,AL,,M,0,0,1,0,1,1,Very High,Greek
363,36455,39,4400000,AL,6,F,57,99,1,0,1,1,Very High,Greek
5714,400,1,4294500,AL,3,F,0,0,1,0,1,1,Very High,Greek
996,7405,35,4293000,AL,1,M,94,97,1,0,1,1,Very High,Greek
674,58092.48,10,4277772,AL,6,F,47,72,1,0,1,1,Very High,Greek
5342,655,16,4239250,AL,0,M,33,60,1,0,1,1,Very High,Greek
1887,765.06,3,4204400,AL,2,M,0,0,1,0,1,1,Very High,Greek
6393,75,3,4178415,AL,0,M,0,0,1,0,1,1,Very High,Greek
3972,3530,9,4082420,AL,1,M,0,0,1,0,1,1,Very High,Greek
6805,0,0,4050442,AL,,F,0,0,1,0,1,1,Very High,Greek
6946,0,0,3993032,AL,,M,0,0,1,0,1,1,Very High,Greek
1162,18715,34,3978764,AL,1,M,29,61,1,0,1,1,Very High,Greek
491,6040,21,3865312,AL,6,F,0,0,1,0,1,1,Very High,Greek
437,272,6,3756817,AL,3,M,0,0,1,0,1,1,Very High,Greek
5255,740,8,3750000,AL,0,M,0,0,1,0,1,1,Very High,Greek
5000,1010,7,3701400,AL,1,M,0,100,1,0,1,1,Very High,Greek
499,280406.86,27,3686553,AL,1,M,0,0,1,0,1,1,Very High,Greek
6493,50,1,3640757,AL,1,F,0,0,1,0,1,1,Very High,Greek
6605,25,1,3639349,AL,1,M,0,0,1,0,1,1,Very High,Greek
4907,1115,2,3630310,AL,5,M,0,100,1,0,1,1,Very High,Greek
1527,10555,16,3575611,AL,0,M,0,0,1,0,1,1,Very High,Greek
5990,240,9,3575500,AL,1,F,0,0,1,0,1,1,Very High,Greek
4777,1310,9,3555590,AL,1,F,100,50,1,0,1,1,Very High,Greek
1519,6407,7,3492000,AL,4,M,100,98,1,0,1,1,Very High,Greek
1868,9365,26,3488000,AL,1,F,75,100,1,0,1,1,Very High,Greek
6104,190,4,3478349,AL,1,M,0,0,1,0,1,1,Very High,Greek
4567,1700,10,3474000,AL,1,M,0,0,1,0,1,1,Very High,Greek
4367,2155,18,3467930,AL,5,F,0,0,1,0,1,1,Very High,Greek
5236,750,6,3465311,AL,1,M,0,0,1,0,1,1,Very High,Greek
1245,49421.23,16,3459762,AL,1,M,56,63,1,0,1,1,Very High,Greek
5394,605,14,3452107,AL,1,M,0,0,1,0,1,1,Very High,Greek
3191,19873,16,3413900,AL,2,M,0,0,1,0,1,1,Very High,Greek
5299,700,8,3386000,AL,0,M,0,0,1,0,1,1,Very High,Greek
4532,1785,27,3384000,AL,1,F,20,45,1,0,1,1,Very High,Greek
1489,453470,38,3372500,AL,1,M,43,55,1,0,1,1,Very High,Greek
1642,150,2,3310632,AL,2,M,0,0,1,0,1,1,Very High,Greek
3769,4710,17,3300000,AL,1,M,61,75,1,0,1,1,Very High,Greek
5173,831,21,3296000,AL,2,M,0,18,1,0,1,1,Very High,Greek
1235,1500,7,3296000,AL,5,M,0,0,1,0,1,1,Very High,Greek
6224,116,5,3291505,AL,1,M,0,0,1,0,1,1,Very High,Greek
5684,410,5,3281809,AL,0,M,0,0,1,0,1,1,Very High,Greek
7020,0,0,3264000,AL,1,M,0,0,1,0,1,1,Very High,Greek
3571,6320,22,3255626,AL,1,M,33,67,1,0,1,1,Very High,Greek
5106,921,14,3227639,AL,2,M,70,69,1,0,1,1,Very High,Greek
6644,10,1,3220098,AL,0,M,0,0,1,0,1,1,Very High,Greek
5553,500,6,3215085,AL,1,M,0,0,1,0,1,1,Very High,Greek
5648,447,5,3211200,AL,2,M,0,0,1,0,1,1,Very High,Greek
1385,21105.53,22,3200000,AL,1,M,71,62,1,0,1,1,Very High,Greek
6474,50,1,3188495,AL,0,M,0,0,1,0,1,1,Very High,Greek
4335,2248,17,3152200,AL,0,M,60,45,1,0,1,1,Very High,Greek
605,156756.44,49,3107249,AL,7,M,52,71,1,0,1,1,Very High,Greek
5259,732,14,3093500,AL,1,F,0,0,1,0,1,1,Very High,Greek
5985,245,10,3081000,AL,0,M,0,0,1,0,1,1,Very High,Greek
6208,125,1,3066805,AL,6,M,0,0,1,0,1,1,Very High,Greek
4486,1875,15,3044150,AL,0,M,0,100,1,0,1,1,Very High,Greek
60,809409.74,31,3024000,AL,3,M,67,67,1,0,1,1,Very High,Greek
5574,500,2,3016230,AL,1,M,0,0,1,0,1,1,Very High,Greek
4876,1156,6,2994119,AL,0,F,0,0,1,0,1,1,Very High,Greek
1674,1100,12,2981000,AL,2,M,100,100,1,0,1,1,Very High,Greek
3840,4252.5,29,2955540,AL,1,F,0,0,1,0,1,1,Very High,Greek
6561,30,2,2930072,AL,1,M,0,0,1,0,1,1,Very High,Greek
5435,570,15,2925596,AL,1,F,0,0,1,0,1,1,Very High,Greek
476,1036581.51,35,2836478,AL,5,M,10,95,1,0,1,1,Very High,Greek
4675,1500,22,2826500,AL,2,M,0,0,1,0,1,1,Very High,Greek
6365,90,6,2821545,AL,1,F,50,100,1,0,1,1,Very High,Greek
4919,1105,10,2808780,AL,0,M,0,0,1,0,1,1,Very High,Greek
3636,5626,18,2800000,AL,1,M,100,100,1,0,1,1,Very High,Greek
1076,55,2,2781681,AL,1,M,0,0,1,0,1,1,Very High,Greek
7006,0,0,2763500,AL,,M,0,0,1,0,1,1,Very High,Greek
4507,1832.5,21,2758110,AL,1,F,100,100,1,0,1,1,Very High,Greek
5813,335,10,2749520,AL,1,F,0,0,1,0,1,1,Very High,Greek
1866,65577.5,21,2740800,FD,3,M,0,57,0,0,1,1,Very High,Greek
1444,175,3,2729500,AL,1,M,100,100,1,0,1,1,Very High,Greek
5249,746,6,2713590,AL,0,F,0,0,1,0,1,1,Very High,Greek
5842,315,17,2700993,AL,0,F,0,0,1,0,1,1,Very High,Greek
3394,9145,18,2680000,AL,1,M,0,0,1,0,1,1,Very High,Greek
2096,33766.49,37,2679500,AL,1,M,95,88,1,0,1,1,Very High,Greek
3469,7785,42,2667860,AL,1,M,88,93,1,0,1,1,Very High,Greek
4696,1465,6,2667000,AL,1,M,0,0,1,0,1,1,Very High,Greek
5900,285,6,2664862,AL,1,M,0,0,1,0,1,1,Very High,Greek
1809,22510,13,2580000,AL,2,M,91,100,1,0,1,1,Very High,Greek
5047,1000,1,2558500,AL,1,M,0,0,1,0,1,1,Very High,Greek
63,98186,24,2555500,AL,6,F,60,76,1,0,1,1,Very High,Greek
1240,7540,8,2549500,AL,4,F,0,0,1,0,1,1,Very High,Greek
4154,2810,25,2535000,AL,1,M,46,56,1,0,1,1,Very High,Greek
6580,25,1,2533196,AL,2,M,0,0,1,0,1,1,Very High,Greek
4037,3225,4,2518615,AL,1,M,100,100,1,0,1,1,Very High,Greek
6404,70,3,2502075,AL,0,F,0,0,1,0,1,1,Very High,Greek
1517,49923,13,2488845,AL,1,F,36,61,1,0,1,1,Very High,Greek
6642,10,1,2471830,AL,0,M,0,0,1,0,1,1,Very High,Greek
1297,5880,30,2468500,AL,1,M,0,49,1,0,1,1,Very High,Greek
3309,11380,15,2462000,AL,5,M,0,0,1,0,1,1,Very High,Greek
6201,125,2,2455000,AL,1,M,0,0,1,0,1,1,Very High,Greek
3176,20788.34,36,2446878,AL,3,M,63,77,1,0,1,1,Very High,Greek
376,6160,22,2434500,AL,2,F,0,0,1,0,1,1,Very High,Greek
3034,10947.5,34,2431330,AL,4,M,51,92,1,0,1,1,Very High,Greek
552,825,18,2429000,AL,0,F,0,50,1,0,1,1,Very High,Greek
5313,695,24,2413000,AL,1,F,0,0,1,0,1,1,Very High,Greek
1121,37710,31,2406500,AL,1,F,77,100,1,0,1,1,Very High,Greek
4843,1210,15,2405704,AL,1,M,0,100,1,0,1,1,Very High,Greek
990,1685,19,2387064,AL,1,M,100,30,1,0,1,1,Very High,Greek
4665,1505,13,2386500,AL,1,F,38,82,1,0,1,1,Very High,Greek
6370,85,6,2384325,AL,2,M,0,0,1,0,1,1,Very High,Greek
4329,2260,31,2371236,AL,2,M,62,85,1,0,1,1,Very High,Greek
6151,150,2,2369000,AL,0,M,0,0,1,0,1,1,Very High,Greek
4388,2080,14,2356500,AL,1,M,0,0,1,0,1,1,Very High,Greek
3340,10050,2,2345053,AL,1,M,0,0,1,0,1,1,Very High,Greek
5233,750,2,2343500,AL,5,F,0,0,1,0,1,1,Very High,Greek
4184,2710,18,2339533,AL,1,M,43,78,1,0,1,1,Very High,Greek
3175,20811,25,2309500,AL,1,F,0,0,1,0,1,1,Very High,Greek
2952,34470,20,2300000,FD,1,F,100,17,0,0,1,1,Very High,Greek
20,23950,22,2295000,AL,2,F,76,95,1,0,1,1,Very High,Greek
4955,1070,13,2293305,AL,1,M,0,0,1,0,1,1,Very High,Greek
5776,350,3,2253500,AL,1,F,0,0,1,0,1,1,Very High,Greek
7080,0,0,2237639,AL,,F,0,0,1,0,1,1,Very High,Greek
6419,65,2,2226432,AL,0,M,0,0,1,0,1,1,Very High,Greek
5710,400,5,2209000,AL,0,F,0,0,1,0,1,1,Very High,Greek
4883,1150,6,2203325,AL,3,M,0,0,1,0,1,1,Very High,Greek
3162,21463,30,2200000,AL,2,M,36,69,1,0,1,1,Very High,Greek
5897,285,5,2193500,AL,1,M,0,0,1,0,1,1,Very High,Greek
89,24796.03,25,2193236,AL,1,F,77,100,1,0,1,1,Very High,Greek
5146,868,25,2192761,AL,1,F,0,0,1,0,1,1,Very High,Greek
1369,54890,28,2188716,AL,1,M,4,100,1,0,1,1,Very High,Greek
4994,1025,23,2182000,AL,1,M,0,0,1,0,1,1,Very High,Greek
3027,25775,10,2166000,AL,4,M,0,0,1,0,1,1,Very High,Greek
1047,36110.5,44,2150234,AL,4,F,71,5,1,0,1,1,Very High,Greek
6721,0,0,2147000,AL,,M,0,0,1,0,1,1,Very High,Greek
5207,797,11,2143000,AL,1,M,0,100,1,0,1,1,Very High,Greek
2249,12267,10,2140000,AL,0,F,100,88,1,0,1,1,Very High,Greek
5555,500,1,2133506,AL,0,M,0,0,1,0,1,1,Very High,Greek
413,129694,37,2127650,AL,2,M,50,88,1,0,1,1,Very High,Greek
3773,4699.31,12,2120528,AL,4,F,56,59,1,0,1,1,Very High,Greek
4702,1455,16,2109870,AL,3,F,0,0,1,0,1,1,Very High,Greek
1632,19045,11,2100000,AL,1,F,17,67,1,0,1,1,Very High,Greek
3611,5875,30,2100000,AL,4,F,79,82,1,0,1,1,Very High,Greek
5196,800,3,2094000,AL,0,M,0,0,1,0,1,1,Very High,Greek
1064,6084,14,2087196,AL,1,F,87,53,1,0,1,1,Very High,Greek
5012,1000,1,2083601,AL,0,M,0,0,1,0,1,1,Very High,Greek
2625,200870,5,2077000,AL,1,M,100,100,1,0,1,1,Very High,Greek
4779,1309,26,2074400,AL,1,F,33,43,1,0,1,1,Very High,Greek
4168,2757.5,27,2066775,AL,1,M,90,90,1,0,1,1,Very High,Greek
5380,625,16,2065000,AL,1,F,0,0,1,0,1,1,Very High,Greek
5929,260,5,2061500,AL,1,M,0,0,1,0,1,1,Very High,Greek
6749,0,0,2058893,AL,1,M,0,0,1,0,1,1,Very High,Greek
5493,526,5,2040000,AL,1,M,0,0,1,0,1,1,Very High,Greek
5374,630,8,2030994,AL,0,M,0,100,1,0,1,1,Very High,Greek
554,136118,21,2024300,AL,1,M,99,99,1,0,1,1,Very High,Greek
3050,10655.12,7,2013500,AL,1,M,49,99,1,0,1,1,Very High,Greek
6053,200,9,2004000,AL,1,M,0,0,1,0,1,1,Very High,Greek
3505,7170,18,2000000,AL,1,M,0,0,1,0,1,1,Very High,Greek
3336,10102.85,23,2000000,AL,3,F,64,60,1,0,1,1,Very High,Greek
