IDCode,WSU LIFETIME GIVING,WSU YEARS OF GIVING,ASSETS,RECORD TYPE CODE,Number of relationships,Gender,Velocity35Score,Velocity57Score,AlumniCode,SportCode,GreekCode,ParticipationScore,AssetClass
6106,190,7,334500,AL,0,F,0,0,1,0,0,0,Moderate
652,2608.16,4,333000,AL,1,M,,,1,,,1,Moderate
4167,2759.01,8,332500,AL,1,M,0,15,1,1,1,2,Moderate
6166,148,5,332500,AL,3,M,0,0,1,0,1,1,Moderate
6261,100,1,332428,AL,1,M,0,0,1,0,0,0,Moderate
2996,27906.97,41,332000,AL,6,M,54,34,1,0,0,0,Moderate
3562,6378.79,5,331982,AL,1,M,80,98,1,0,1,1,Moderate
92,11080,31,331600,AL,1,M,50,67,1,0,0,0,Moderate
1716,609673.93,39,330414,AL,7,M,84,96,1,0,1,1,Moderate
245,6545.5,13,330300,FR,1,F,0,0,0,0,0,0,Moderate
6215,120,1,329700,FR,1,M,0,0,0,0,0,0,Moderate
3493,7350,31,329000,AL,1,M,64,78,1,0,0,0,Moderate
7078,0,0,329000,FR,2,M,0,0,0,0,0,0,Moderate
1018,231587.77,26,328000,AL,3,M,50,48,1,0,0,0,Moderate
6817,0,0,327400,FR,1,M,0,0,0,0,0,0,Moderate
620,4250.43,7,326000,AL,4,M,0,25,1,0,0,0,Moderate
3346,10000,2,326000,FR,0,F,0,0,0,0,0,0,Moderate
2090,10030,27,326000,AL,1,F,70,62,1,0,0,0,Moderate
893,55972,25,325972,AL,9,M,44,99,1,1,1,2,Moderate
4618,1600,7,325146,AL,1,M,100,12,1,0,0,0,Moderate
839,10581.49,9,324780,FR,1,M,69,74,0,0,0,0,Moderate
2101,39913.54,34,324200,AL,1,M,98,99,1,0,1,1,Moderate
4801,1285,19,324000,AL,1,M,100,100,1,0,1,1,Moderate
2657,15850,4,323800,FR,1,F,0,0,0,0,0,0,Moderate
589,245.35,6,323500,AL,4,M,,,1,,,0,Moderate
3156,21890,33,323500,AL,1,M,33,79,1,0,0,0,Moderate
392,1075,22,323200,AL,7,F,,,1,,,0,Moderate
2675,15050,11,323000,AL,4,M,50,75,1,0,0,0,Moderate
3868,4118,32,322500,AL,2,F,53,81,1,0,0,0,Moderate
1740,33000,10,322000,AL,1,M,0,100,1,0,1,1,Moderate
1468,2980,19,321000,AL,3,M,18,85,1,1,1,2,Moderate
3690,5210,9,321000,AL,0,M,0,0,1,0,1,1,Moderate
86,128558,35,320938,AL,7,M,69,100,1,1,1,2,Moderate
1392,95659,17,320710,AL,3,M,69,15,1,0,0,0,Moderate
3478,7585,28,320000,AL,2,M,52,68,1,0,0,0,Moderate
3146,22530,26,319500,AL,0,M,60,83,1,0,0,0,Moderate
5147,865,20,319500,AL,1,M,33,60,1,0,1,1,Moderate
5619,461.2,8,318500,AL,1,M,0,0,1,0,1,1,Moderate
2012,29515.25,38,318320,AL,4,M,42,70,1,0,1,1,Moderate
1672,420,9,317885,AL,0,M,0,67,1,0,0,0,Moderate
3197,19586,25,317500,AL,2,M,60,100,1,0,0,0,Moderate
2886,43690,37,317500,AL,5,M,60,78,1,1,1,2,Moderate
3672,5350,11,317000,AL,8,M,28,50,1,0,0,0,Moderate
2202,30304.15,31,317000,FA,1,M,53,72,0,0,0,0,Moderate
2016,38335,33,316602,AL,4,M,72,61,1,0,0,0,Moderate
3006,27335.9,50,316000,AL,4,F,92,97,1,0,0,0,Moderate
2939,35515,14,315879,FP,5,M,0,32,0,0,0,0,Moderate
722,22500,12,315500,FP,2,F,12,67,0,0,0,0,Moderate
6199,125,1,315000,FF,0,M,0,100,0,0,0,0,Moderate
1611,14800,3,315000,AL,1,M,0,0,1,1,0,1,Moderate
2387,9176,13,314500,AL,4,F,5,44,1,0,0,0,Moderate
1085,7831,32,314000,AL,4,M,86,45,1,1,1,2,Moderate
2484,2518,6,314000,AL,4,M,,,1,,,0,Moderate
2001,10091,21,313500,AL,2,M,31,62,1,0,0,0,Moderate
477,106568.12,44,313500,AL,1,M,98,98,1,0,0,0,Moderate
4339,2245,10,312487,AL,1,M,0,0,1,0,1,1,Moderate
6506,50,1,312005,FR,0,F,0,0,0,0,0,0,Moderate
2853,50385.08,16,312000,AL,3,F,48,94,1,0,0,0,Moderate
2615,29118.54,17,311500,AL,0,M,52,95,1,0,1,1,Moderate
5682,410,6,311500,AL,4,M,0,0,1,0,1,1,Moderate
5564,500,1,311000,FR,0,M,0,0,0,0,0,0,Moderate
1668,4391,24,310700,AL,0,M,,,1,,,0,Moderate
6685,0,0,310480,FP,2,M,0,0,0,0,0,0,Moderate
3301,11593.04,12,310100,FR,1,M,49,65,0,0,0,0,Moderate
2316,2162.25,21,310100,FR,1,M,,,0,,,0,Moderate
5635,450,5,309600,AL,1,M,0,0,1,0,0,0,Moderate
2585,30879.52,32,308000,AL,1,M,60,83,1,0,0,0,Moderate
5478,540,13,307899,AL,2,M,0,0,1,0,0,0,Moderate
4889,1144,35,307500,AL,2,M,73,84,1,0,0,0,Moderate
2354,3470,12,307500,AL,4,M,80,79,1,1,0,1,Moderate
5570,500,1,306530,FR,1,M,0,0,0,0,0,0,Moderate
3165,21235,14,306500,AL,1,M,0,0,1,0,1,1,Moderate
1873,28280,24,306030,AL,2,M,40,78,1,1,0,1,Moderate
1930,745,11,306000,AL,1,F,,,1,,,0,Moderate
1046,147047.81,47,305700,AL,5,M,2,100,1,0,0,0,Moderate
768,1413.1,6,305000,AL,1,M,,,1,,,0,Moderate
7164,0,0,305000,FR,1,M,0,0,0,0,0,0,Moderate
3149,22355,25,304700,AL,1,M,33,75,1,0,0,0,Moderate
4143,2850.99,10,304500,AL,2,F,74,88,1,0,0,0,Moderate
4148,2830,6,304280,AL,1,M,0,0,1,0,0,0,Moderate
2394,4620,27,303400,FR,1,F,,,0,,,0,Moderate
6367,85,3,303300,FP,2,M,0,35,0,0,0,0,Moderate
3180,20405,25,303000,AL,2,F,90,87,1,0,0,0,Moderate
6341,100,1,303000,AL,1,M,0,0,1,0,1,1,Moderate
940,25000,1,301956,FP,2,F,100,100,0,0,0,0,Moderate
7091,0,0,301880,FP,1,M,0,0,0,0,0,0,Moderate
3564,6370,13,301500,AL,1,M,0,0,1,0,1,1,Moderate
2331,7002.5,6,300500,AL,1,M,36,48,1,0,0,0,Moderate
3424,8614,30,299500,FP,2,M,66,80,0,0,0,0,Moderate
6765,0,0,299500,AL,,M,0,0,1,0,0,0,Moderate
2328,2950,22,299500,FR,0,F,,,0,,,0,Moderate
1844,34232,23,299250,AL,1,M,72,97,1,0,0,0,Moderate
3005,27450,26,299100,AL,1,M,55,78,1,0,0,0,Moderate
2447,41400,26,299000,FR,1,F,62,80,0,0,0,0,Moderate
75,18380,25,298471,AL,1,M,75,69,1,0,0,0,Moderate
4730,1413,23,297900,AL,1,M,33,51,1,0,0,0,Moderate
3275,16065,17,297700,AL,1,F,0,50,1,0,0,0,Moderate
1683,13322,32,297000,AL,3,M,50,75,1,0,0,0,Moderate
2983,28913,17,297000,AL,3,M,0,0,1,0,1,1,Moderate
4045,3200,32,295210,AL,1,M,27,93,1,0,0,0,Moderate
5390,610,5,295100,FR,0,F,0,29,0,0,0,0,Moderate
6379,80,2,295006,FR,1,F,100,38,0,0,0,0,Moderate
113,14456,26,294500,AL,5,M,78,54,1,0,1,1,Moderate
1875,20640,25,294041,AL,1,M,60,71,1,0,0,0,Moderate
3402,8990,11,294000,AL,1,M,0,0,1,0,0,0,Moderate
5215,785,7,294000,AL,1,M,0,10,1,0,0,0,Moderate
1068,23939.12,29,293690,AL,4,M,51,52,1,0,0,0,Moderate
1526,22539,18,293395,AL,3,M,85,85,1,0,0,0,Moderate
6378,80,2,293000,FR,1,F,0,0,0,0,0,0,Moderate
1438,8813.5,31,289070,AL,2,M,0,67,1,0,0,0,Moderate
